B cells-B cells	B cells-Monocytes/Macrophage	B cells-CD8 T cells	B cells-CD4 T cells	B cells-Dendritic cells	B cells-T cells	B cells-NK cells	Monocytes/Macrophage-B cells	Monocytes/Macrophage-Monocytes/Macrophage	Monocytes/Macrophage-CD8 T cells	Monocytes/Macrophage-CD4 T cells	Monocytes/Macrophage-Dendritic cells	Monocytes/Macrophage-T cells	Monocytes/Macrophage-NK cells	CD8 T cells-B cells	CD8 T cells-Monocytes/Macrophage	CD8 T cells-CD8 T cells	CD8 T cells-CD4 T cells	CD8 T cells-Dendritic cells	CD8 T cells-T cells	CD8 T cells-NK cells	CD4 T cells-B cells	CD4 T cells-Monocytes/Macrophage	CD4 T cells-CD8 T cells	CD4 T cells-CD4 T cells	CD4 T cells-Dendritic cells	CD4 T cells-T cells	CD4 T cells-NK cells	Dendritic cells-B cells	Dendritic cells-Monocytes/Macrophage	Dendritic cells-CD8 T cells	Dendritic cells-CD4 T cells	Dendritic cells-Dendritic cells	Dendritic cells-T cells	Dendritic cells-NK cells	T cells-B cells	T cells-Monocytes/Macrophage	T cells-CD8 T cells	T cells-CD4 T cells	T cells-Dendritic cells	T cells-T cells	T cells-NK cells	NK cells-B cells	NK cells-Monocytes/Macrophage	NK cells-CD8 T cells	NK cells-CD4 T cells	NK cells-Dendritic cells	NK cells-T cells	NK cells-NK cells
IL20-IFNAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00237218531785389	0.00285564459004992	0.00140980414257799	0.00156875932254763	0.00311716833362041	0.00150742889832939	0.00089269421563692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL11-CCR8	5.78891934291839e-05	5.40323693015577e-05	0	3.77516437715218e-05	5.2736819175117e-05	4.69140533717458e-05	2.66791013915895e-05	0.00144313098796084	0.00145899348310314	0	0.000965016853263016	0.00133917274403934	0.00102222507584632	0.000455559909080872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000658397634318711	0.000598037859789965	0	0.000442454714695159	0.000569971337779573	0.000493973412490131	0.000233508762828236	0	0	0	0	0	0	0	8.1734343640173e-05	7.78185685530428e-05	0	5.4766420292754e-05	7.42073285201729e-05	6.37564905056639e-05	3.30977310150739e-05
KNG1-EDNRB	0.000831153871576269	0.000518684977285958	0	0.00116354753263117	0.000271035122569839	0.000663001629046038	0.000806010912383534	0.000350199322647698	0.000236716551799383	0	0.000502699874861339	0.000116325213704805	0.000244165210382622	0.000232616671728624	0	0	0	0	0	0	0	0.00256406743994062	0.0015057101838663	0	0.00356524781047145	0.000780349476501001	0.00196019156817441	0.00255202838400804	0.000306889402319402	0.00018637516144486	0	0.000442717598987998	9.50986505671941e-05	0.000226633918666593	0.000229024847698791	0.000742820587479063	0.000455793135066972	0	0.00106879654123745	0.000234659930410794	0.000575231697713246	0.000656705084513972	0.000789261061624719	0.00050241784937929	0	0.00113525855294207	0.000256501909821478	0.000605993834203521	0.000672512112164855
PDGFD-TEK	0.000170986287706215	0	0	0	0.000633798962244957	0	3.89794338103989e-05	1.90089447999511e-05	0	0	0	7.17732589029223e-05	0	2.96823511804126e-06	0.000464377287994642	0	0	0	0.00168911809902141	0	9.14973316060076e-05	5.0927772116693e-05	0	0	0	0.000176181570390301	0	1.19158626393771e-05	2.23861939061556e-05	0	0	0	7.88531094017188e-05	0	3.92731491148343e-06	0.000132924344294936	0	0	0	0.000477315603309065	0	2.76252188548353e-05	0.00061995853500981	0	0	0	0.00229022772729378	0	0.000124181479642987
COL4A3-ITGA2B	0	0	0	0.00787293152150714	0	0	0.00294806110482022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMA4-ITGAV	0.000332210118830606	0.000403566455654981	0.00016953884578701	0.000501809859542179	0.00018710720619788	0.0001739069499211	0.000188564537164929	8.93863638835283e-05	0.000117615500740744	3.52816799328461e-05	0.000138448540758348	5.12818099524664e-05	4.08988099951536e-05	3.4752374239851e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00137418039858116	0.00162453793569808	0.000592696933711723	0.0021390073687096	0.000735478071948521	0.000665974628984999	0.00060024995272053	0	0	0	0	0	0	0	0.000357575979227619	0.000443090752366932	0.000167766568848312	0.000554965618076111	0.000200711279181519	0.000180171785782103	0.000178334530731763
CCL13-CCR1	0	0	0	0	0	0	0	0.00133325134663837	0.00209446227340212	0.000817315456794042	0.00088644605877084	0.00153546580979738	0.000948091797464959	0.000443294741748943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000494138752937291	0.000697432598847924	0.000331007277602336	0.000330172286267905	0.000530897817552921	0.000372187520883445	0.000184588499499709	0	0	0	0	0	0	0	0.000154161994970915	0.00022807038277864	0.000112334745081446	0.000102706571967576	0.00017370679591612	0.000120724308305992	6.57524240043691e-05
CSF1-FGFR2	0.000165189960150535	0	0	0.000113397780758813	0	0	0	4.14453602516679e-05	0	0	2.91734374281424e-05	0	0	0	0.000717397072471365	0	0	0.000492136309712109	0	0	0	0.000695330506994845	0	0	0.000474099799537092	0	0	0	4.56804793212912e-05	0	0	3.23142259168022e-05	0	0	0	0.000385761354846655	0	0	0.000272174877272164	0	0	0	0.000141388947328408	0	0	9.97258567011262e-05	0	0	0
WNT2B-FZD7	0.000519443702657945	0.00029409772282203	0	0.000807993424184238	0.000128807924432944	0.000187025085717908	0.000185348664884448	0.000543461988224944	0.000333283210554939	0	0.000866820736234713	0.000137273809531694	0.000171027469169679	0.000132826948692369	0.000470832747924588	0.00026920388005156	0	0.000731881726479091	0.000114569643742722	0.000156270155896324	0.000145204759849682	0.000855220127702004	0.000455638901578853	0	0.0013213103439878	0.000197923594023501	0.000295104070541737	0.000313202670995858	0.000581014573265893	0.00032012832753903	0	0.00093131921655827	0.000136911347294683	0.000193668173187378	0.000159543540089267	0.00101035430028125	0.000562455905416608	0	0.00161529350012624	0.000242710550588884	0.000353151280664599	0.000328663615345253	0.000149493706883235	8.63372541826844e-05	0	0.000238926135937352	3.69447551069181e-05	5.18082177645804e-05	4.6869878868089e-05
IL24-IL2RG	0.00120480684314703	0.000349060254797039	0.00289285225083676	0.00186405119832067	0.000640249673579617	0.00218289226555289	0.00315455199624701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012897315602333	0.000351618736967166	0.00307332862098259	0.0019819711066026	0.000639656512456459	0.00223949508395578	0.00346590104564692	0.000574793568054712	0.000162061098848708	0.00116641552808585	0.000916419893973694	0.000290263322253199	0.000964132293240207	0.0011581728676002	0.00121712827299134	0.000346721631142134	0.00275345513144092	0.00193546433250027	0.000626583790390799	0.00214080416848469	0.00290525042274714	0.00120335522371865	0.000355630474070064	0.00265633836818259	0.00191295901937064	0.000637311231573259	0.00209856820561814	0.00276843324564251
CXCL5-CCR6	0	0	0	0	0	0	0	0.000937880615467846	0	0.000569858012583415	0.000625840635813461	0.000869905764168756	0.000669215673280901	0.000295950319662158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00137949774922637	0	0.000915906290706234	0.000925099858711237	0.00119365700417523	0.00104259124732143	0.00048906594826609	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL23-XCR1	7.4587296288577e-05	6.96243397463821e-05	5.85958930214036e-05	4.82177452157731e-05	7.0342363897645e-05	0	0	0.00066169780471017	0.000669032176918226	0.000402053294917194	0.00043862411494883	0.000635661932989432	0	0	0.00192142757064883	0.0018112638536496	0.00134527162136521	0.00124128341452362	0.00177817670542606	0	0	0.000536429356051774	0.000471192607360506	0.000418230493983644	0.000344438865694907	0.000472150212219917	0	0	0.000274442903883158	0.00024930565791162	0.00018221615745109	0.000182825275597747	0.000245953168687563	0	0	0.001060723864682	0.000973554291289386	0.000785122598741666	0.000704778721563703	0.000969092647817249	0	0	0.000141006192476017	0.00013426306466995	0.000101840663148234	9.3659455068953e-05	0.000132530569604469	0	0
EFNA1-INSR	0.00015642056884327	0.00143020565156882	5.09972901987466e-05	9.51755437777331e-05	0.00122482988935806	6.14277009181807e-05	4.60191104967319e-05	3.57836459598128e-05	0.00035438905772993	9.02317637248757e-06	2.23257918934404e-05	0.000285417711369822	1.22825999661209e-05	7.210991667136e-06	0	0	0	0	0	0	0	5.32446825478421e-05	0.000458110849650178	1.72278200466487e-05	3.21784653999979e-05	0.000389111185569488	2.00393002263482e-05	1.60774500209647e-05	0.000237574899002115	0.00211392262051901	6.54615610637499e-05	0.000148961575471302	0.00176779047730603	8.63735573992117e-05	5.37880914382134e-05	0	0	0	0	0	0	0	8.41453111618795e-05	0.000784795844994931	2.52210916311956e-05	5.26057036994271e-05	0.000656655551562536	3.18064123995496e-05	2.1751751021984e-05
